body movements | C0026649
ekg | C0013798
ekgs | C0013798
electrocardiographies | C0013798
electrocardiography | C0013798
ecg's | C0013798
ecg | C0013798
electrocardiogram | C0013798
ekg's | C0013798
electrocardiographs | C0013798
electrocardiograms | C0013798
enlargement procedure | C1293134
enlargements | C1293134
enlargement | C1293134
enlargement procedures | C1293134
enlarged | C1293134
perceiving | C0030971
perceptions | C0030971
perception | C0030971
perceived | C0030971
perceptual functions | C0030971
hypothyroidism | C0020676
underactive thyroid | C0020676
thyroid deficiencies | C0020676
subthyroidisms | C0020676
hypothyroids | C0020676
thyroid insufficiencies | C0020676
thyroid activity decreased | C0020676
hypothyroid | C0020676
thyroid insufficiency | C0020676
thyroid deficiency | C0020676
subthyroidism | C0020676
underactive thyroids | C0020676
hypothyroidisms | C0020676
unspecified hypothyroidism | C0020676
unspecified hypothyroidisms | C0020676
generic anaesthesia procedures | C0002903
procedure anesthesias | C0002903
anaesthesia | C0002903
administration of anaesthesia | C0002903
generic anaesthesia procedure | C0002903
anesthesia procedure | C0002903
anesthesias | C0002903
administration of anesthesia | C0002903
administration of anesthesias | C0002903
anesthesia procedures | C0002903
generic anesthesia procedure | C0002903
anesthesia | C0002903
anaesthesia procedure | C0002903
anesthesia for procedures | C0002903
anaesthesias | C0002903
anaesthesia procedures | C0002903
procedure anesthesia | C0002903
administration of anaesthesias | C0002903
generic anesthesia procedures | C0002903
feeling lonely | C0023974
loneliness | C0023974
lonely | C0023974
talking | C0037817
speech | C0037817
speeches | C0037817
talks | C0037817
speech functions | C0037817
speech function | C0037817
talk | C0037817
difficulty in sleep maintenance | C0393761
middle insomnia | C0393761
fitful sleep | C0393761
difficulty staying asleep | C0393761
sleep maintenance insomnia | C0393761
keeps waking up | C0393761
sleep maintenance insomnias | C0393761
middle insomnias | C0393761
keeps waking ups | C0393761
night wake | C0393761
night waking | C0393761
interrupted sleep | C0393761
interrupting sleep | C0393761
keeps waking up's | C0393761
waking night | C0393761
waking nights | C0393761
night wakings | C0393761
broken sleep | C0393761
night wakes | C0393761
regulation of biological processes | C1327622
regulation of biological process | C1327622
regulation of physiological processes | C1327622
regulations | C1327622
regulation | C1327622
regulation of physiological process | C1327622
regulatory processes | C1327622
regulatory process | C1327622
history of depression | C0455503
history of depressions | C0455503
history of depressive disorder | C0455503
history of depressive disorders | C0455503
lack of exercise findings | C0277807
lack of exercises | C0277807
lack of physical exercises | C0277807
exercise lacking | C0277807
exercise lack of's | C0277807
lack of physical exercise | C0277807
exercise lack | C0277807
exercise lack of | C0277807
lack of exercise finding | C0277807
exercise lack ofs | C0277807
lack of exercise | C0277807
fractured bone | C0016658
fractured | C0016658
fracture of bones | C0016658
fracture bone | C0016658
bone fracture | C0016658
bone fractures | C0016658
fracture | C0016658
fractures | C0016658
fracture bones | C0016658
fracture of bone | C0016658
bone fractured | C0016658
broken bones | C0016658
broken bone | C0016658
bones fractured | C0016658
fractured bones | C0016658
fracture of unspecified bones | C0016658
examining | C0332128
examined | C0332128
examined for | C0332128
dysthymias | C0013415
dysthymia disorder | C0013415
dysthymic disorders | C0013415
dysthymic diss | C0013415
dysthymic dis's | C0013415
dysthymia disorders | C0013415
dysthymic di | C0013415
dysthymic di's | C0013415
dysthymic dis | C0013415
dysthymia | C0013415
dysthymic disorder | C0013415
other therapies | C0418967
other therapy | C0418967
voluntary movement | C1718498
voluntary movements | C1718498
postepileptic confusions | C0751053
postepileptic confusion | C0751053
postictal confusions | C0751053
postictal confusion | C0751053
post-ictal confusions | C0751053
post-ictal confusion | C0751053
postseizure confusions | C0751053
postseizure confusion | C0751053
confusion postictal | C0751053
long term eff | C0023983
longterm effect | C0023983
eff longterm | C0023983
long term effects | C0023983
longterm effects | C0023983
long term effect | C0023983
longterm eff | C0023983
long-term effects | C0023983
eff long term | C0023983
eff long terms | C0023983
long-term effect | C0023983
somatic manifestations | C0679309
physical symptoms | C0679309
somatic manifestation | C0679309
physical symptom | C0679309
well childs | C0686744
healthy childs | C0686744
healthy child | C0686744
well children | C0686744
healthy children | C0686744
child healthy | C0686744
child wells | C0686744
child well | C0686744
well child | C0686744
suicidal behaviours | C1760428
suicidal behaviour | C1760428
suicidal behaviors | C1760428
suicidal behavior | C1760428
anterior pituitary hyposecret syndromes | C0020635
adenohypophyseal hyposecretion | C0020635
pituitary hypofunction | C0020635
pituitary failures | C0020635
adenohypophyseal hyposecrets | C0020635
pituitary insufficiencies | C0020635
pituitary deficiencies | C0020635
hypopituitarisms | C0020635
adenohypophyseal hyposecretions | C0020635
pituitary failure | C0020635
anterior pituitary hyposecretion syndromes | C0020635
hypopituitalism | C0020635
deficiencies pituitaries | C0020635
anterior pituitary hyposecret syndrome | C0020635
hypopitutitarism | C0020635
pituitary deficiency | C0020635
pituitary insufficiency | C0020635
insufficiency pituitaries | C0020635
adenohypophyseal hyposecret | C0020635
hypopituitalisms | C0020635
hypopituitarism | C0020635
insufficiency pituitary | C0020635
hypopitutitarisms | C0020635
hyposecret syndrome anterior pituitaries | C0020635
anterior pituitary hyposecretion syndrome | C0020635
deficiencies pituitary | C0020635
hyposecret adenohypophyseal | C0020635
pituitary hypofunctions | C0020635
deficient secretion of one or more pituitary hormones | C0020635
hyposecret syndrome anterior pituitary | C0020635
interventional services emergency departments | C2077962
emergency departments | C2077962
interventional services emergency department | C2077962
emergency department | C2077962
atypical depression | C0154437
atypical depressive diss | C0154437
atypical depressive dis's | C0154437
atypical depressive disorder | C0154437
atypical depressions | C0154437
atypical depressive di's | C0154437
atypical depressive disorders | C0154437
atypical depressive dis | C0154437
atypical depressive di | C0154437
suicidal ideas | C0850335
prevention of recurrence | C0814337
prevention of later incidences of a disorders | C0814337
prevention of recurrences | C0814337
prevention of later incidences of a disorder | C0814337
rndx suicide risks | C0563664
suicide risks | C0563664
at risk for suicides | C0563664
at risk for suicide | C0563664
threatening suicides | C0563664
suicide risk | C0563664
rndx suicide risk | C0563664
risk suicides | C0563664
risk suicide | C0563664
threatening suicide | C0563664
urination hesitancy | C0152032
delays in starting urination | C0152032
delays in starting urinations | C0152032
urinary hesitation | C0152032
hesitancy | C0152032
delay when starting to pass urines | C0152032
difficulty initiating urinations | C0152032
hesitancy of micturitions | C0152032
urinary hesitancies | C0152032
urine hesitancies | C0152032
difficulty initiating urination | C0152032
hesitancy of micturition | C0152032
urination hesitancies | C0152032
delay when starting to pass urine | C0152032
hesitancy urination | C0152032
urinary hesitancy | C0152032
urine hesitancy | C0152032
urinary hesitations | C0152032
hesitancy urinations | C0152032
hesitancies | C0152032
decreased libido | C0011124
reduced libidines | C0011124
low libidines | C0011124
decreased sexual interest | C0011124
decreased sexual desires | C0011124
libido decreased | C0011124
decreased sexual interests | C0011124
reduced libidos | C0011124
decreased sexual desire | C0011124
reduced libido | C0011124
low libido | C0011124
decreased libidines | C0011124
sexual desire decreased | C0011124
reduced sexual desires | C0011124
decrease in libidines | C0011124
sexual arousal decreased | C0011124
decreas sexual desire | C0011124
low libidos | C0011124
decreas sexual desires | C0011124
decrease in libidos | C0011124
sexual feeling decreased | C0011124
decreased libidos | C0011124
reduced sexual desire | C0011124
decrease in libido | C0011124
abuse | C1328247
abuses | C1328247
vitamin pp deficiency | C0030783
pellagrases | C0030783
nicotinic acid deficiency | C0030783
pellagra | C0030783
niacin deficiencies | C0030783
pellagra disorder | C0030783
pellagrass | C0030783
pellagra disorders | C0030783
vitamin pp deficiencies | C0030783
pellagras | C0030783
vitamin deficiency niacin | C0030783
nicotinic acid deficiencies | C0030783
niacin-tryptophan deficiencies | C0030783
nicotinamide deficiencies | C0030783
vitamin b3 deficiencies | C0030783
deficiencies niacin | C0030783
niacin-tryptophan deficiency | C0030783
deficiency niacin | C0030783
niacin deficiency | C0030783
niacin deficiency pellagra | C0030783
nicotinamide deficiency | C0030783
pellagrae | C0030783
vitamin b3 deficiency | C0030783
maintenance treatments | C0814469
maintenance treatment | C0814469
treatment and maintenance | C0814469
high incomes | C0948433
high income | C0948433
blocking | C0233660
mental blocking | C0233660
thought block | C0233660
mental blocks | C0233660
mental block | C0233660
mental blockings | C0233660
thought blockings | C0233660
blockings | C0233660
thought blocking | C0233660
thought blocks | C0233660
sense of pains | C0030193
pain finding | C0030193
rndx unspecified pains | C0030193
pain | C0030193
pains | C0030193
painful | C0030193
pain observations | C0030193
dolor | C0030193
pain findings | C0030193
part hurts | C0030193
unspecified pain | C0030193
rndx unspecified pain | C0030193
sense of pain | C0030193
dolores | C0030193
unspecified pains | C0030193
infectious disease | C0009450
communicable diseases | C0009450
communicable di's | C0009450
infect dis's | C0009450
communicable di | C0009450
infectious | C0009450
infectious disorders | C0009450
infect diss | C0009450
infectious diseases | C0009450
infectious disease pathways | C0009450
contagious diseases | C0009450
communicable disease | C0009450
infection | C0009450
contagious disease | C0009450
infections | C0009450
communicable infectious disease | C0009450
communicable infectious diseases | C0009450
communicable dis's | C0009450
communicable diss | C0009450
infectious disease pathway | C0009450
infectious diseases and manifestations | C0009450
communicable dis | C0009450
infect dis | C0009450
infect di | C0009450
disease caused by microorganism | C0009450
disease caused by microorganisms | C0009450
infectious disorder | C0009450
infections and infestations | C0009450
infec | C0009450
infecs | C0009450
transmissible diseases | C0009450
transmissible disease | C0009450
infect di's | C0009450
disabilities | C0231170
disability | C0231170
bp | C0005823
bp's | C0005823
blood pressure | C0005823
bps | C0005823
blood pressures | C0005823
withdrawal complaints | C0087169
withdrawal sign or symptoms | C0087169
abstinence symptoms | C0087169
withdrawal sign or symptom | C0087169
withdrawal complaint | C0087169
withdrawal symptom | C0087169
abstinence symptom | C0087169
withdrawal symptoms | C0087169
psychiatric therapeutic procedure | C0204523
psychiatric treatments | C0204523
psychiatric cares | C0204523
therapy psychiatric | C0204523
caring psychiatrics | C0204523
psychiatric therapies | C0204523
psychiatric care | C0204523
psychiatric therapy | C0204523
psychiatric treatment | C0204523
psychiatric therapeutic procedures | C0204523
care psychiatric | C0204523
muscular spasm | C0037763
muscle spasm | C0037763
myospasms | C0037763
spasm | C0037763
myospasm | C0037763
reported muscle spasms | C0037763
spasm of muscles | C0037763
spasm of muscle | C0037763
spasms | C0037763
spasm muscle | C0037763
muscular spasms | C0037763
spasm muscles | C0037763
muscle spasms | C0037763
grooming | C0018249
groomings | C0018249
groom | C0018249
grooms | C0018249
talkativeness | C0859023
assessment diagnostic | C0431080
assessments diagnostics | C0431080
diagnostic assessments | C0431080
diagnostic assessment | C0431080
assessment diagnostics | C0431080
assessments diagnostic | C0431080
memories | C0025260
memory function | C0025260
memory functions | C0025260
memory | C0025260
psychiatrics symptoms | C0233401
mental symptom | C0233401
symptoms psychiatric | C0233401
mental symptoms | C0233401
psychiatric symptom | C0233401
psychiatric symptoms | C0233401
mood disorder due to specified medical conditions | C0236747
mood disorder due to general medical conditions | C0236747
mood disorder due to a general medical conditions | C0236747
mood disorder due to general medical condition | C0236747
mood disorder due to specified medical condition | C0236747
mood disorder due to a general medical condition | C0236747
alzheimers di's | C0002395
dementia alzheimer's type | C0002395
alzheimer dis's | C0002395
senile dementia of the alzheimer type | C0002395
dementia of the alzheimer types | C0002395
primary senile degenerative dementias | C0002395
senile dementia | C0002395
alzheimer type dementias | C0002395
alzheimers disease | C0002395
sdat | C0002395
ad's | C0002395
alzheimers diseases | C0002395
alzheimer type senile dementias | C0002395
alzheimers diss | C0002395
alzheimer's diseases | C0002395
dat's | C0002395
senile dementias | C0002395
alzheimers di | C0002395
dementia of the alzheimer's types | C0002395
dementia in alzheimer's disease | C0002395
dat | C0002395
alzheimer disease | C0002395
dementia in alzheimer's diseases | C0002395
alzheimer di | C0002395
alzheimer diss | C0002395
dementia of alzheimer's types | C0002395
primary degenerative dementias | C0002395
dementia of alzheimer's type | C0002395
alzheimer's dementia | C0002395
dementia alzheimer's types | C0002395
dementia of the alzheimer type | C0002395
alzheimers dis's | C0002395
dementia alzheimers | C0002395
alzheimers dementia | C0002395
senile dementia of the alzheimer types | C0002395
alzheimer type senile dementia | C0002395
primary degenerative dementia | C0002395
alzheimer di's | C0002395
alzheimers dementias | C0002395
ads | C0002395
simple senile dementias | C0002395
alzheimer dementias | C0002395
alzheimer dis | C0002395
dats | C0002395
simple senile dementia | C0002395
dementia alzheimer | C0002395
alzheimer type dementia | C0002395
alzheimer's disease | C0002395
alzheimer diseases | C0002395
alzheimer | C0002395
dementia of the alzheimer's type | C0002395
dementia primary degenerative | C0002395
ad | C0002395
primary senile degenerative dementia | C0002395
alzheimer's dementias | C0002395
alzheimer dementia | C0002395
alzheimers dis | C0002395
behavior conditioning therapy | C0004933
behavior modification treatments and procedures | C0004933
behavior modification psychotherapy | C0004933
behavioral interventions | C0004933
behaviour modifications | C0004933
behavior modifications | C0004933
ther conditionings | C0004933
behavioural psychotherapies | C0004933
behaviour modification technique | C0004933
behavioral modification | C0004933
conditioning thers | C0004933
conditioning ther | C0004933
behavioral therapies | C0004933
behavior or life style modifications | C0004933
behavior ther's | C0004933
behavior modification technique | C0004933
behaviour therapies | C0004933
ther conditioning | C0004933
behaviour modification psychotherapy | C0004933
behavior therapy | C0004933
behaviour therapy | C0004933
behavioral treatments | C0004933
behavior modification | C0004933
behavioral treatment | C0004933
behavior modification psychotherapies | C0004933
behavior ther | C0004933
behavioural psychotherapy | C0004933
behaviour modification psychotherapies | C0004933
behavior conditioning therapies | C0004933
behavioral intervention | C0004933
conditioning therapies | C0004933
behavioural therapy | C0004933
behavior thers | C0004933
behaviour conditioning therapy | C0004933
behaviour modification treatments and procedures | C0004933
ther behavior | C0004933
conditioning therapy | C0004933
behaviour modification techniques | C0004933
behavioral psychotherapy | C0004933
behaviour conditioning therapies | C0004933
behavior therapies | C0004933
ther behaviors | C0004933
behavioural therapies | C0004933
behavior modification techniques | C0004933
conditioning ther's | C0004933
behavioral modifications | C0004933
behavioral therapy | C0004933
behaviour modification | C0004933
behavioral psychotherapies | C0004933
poor concentrations | C0233417
poor concentration | C0233417
fluses | C0021400
grips | C0021400
human flu | C0021400
human influenzae | C0021400
flu syndromes | C0021400
influenzas | C0021400
flu | C0021400
influenza in humans | C0021400
flus | C0021400
grip | C0021400
syndrome flu | C0021400
influenza in human | C0021400
influenza | C0021400
human influenzas | C0021400
influenzae | C0021400
fluss | C0021400
human influenza | C0021400
grippe | C0021400
flu syndrome | C0021400
physical stresses | C0231302
stress physical | C0231302
stress physicals | C0231302
physical stress | C0231302
elective mutisms | C0236818
voluntary mutisms | C0236818
voluntary mutism | C0236818
elective mutism | C0236818
refusal to speak | C0236818
mutism selective | C0236818
selective mutisms | C0236818
selective mutism | C0236818
loss of reactivity | C0429307
loss of reactivities | C0429307
sized small | C0748864
small size | C0748864
small sized | C0748864
small sizes | C0748864
emotional response | C0870485
emotional responses | C0870485
employment in | C0557351
in employment | C0557351
in works | C0557351
in employments | C0557351
work ins | C0557351
employment ins | C0557351
employing | C0557351
employ | C0557351
in work | C0557351
employs | C0557351
employment in's | C0557351
work in's | C0557351
work in | C0557351
employed | C0557351
stress management skills | C0679002
reduction stresses | C0679002
stress reductions | C0679002
stress reduction | C0679002
reduction stress | C0679002
compliance behavior | C1321605
patient compliance | C1321605
therapy compliances | C1321605
patient adherence | C1321605
compliance behaviours | C1321605
client compliances | C1321605
client compliance | C1321605
compliance | C1321605
compliance behaviors | C1321605
compliance behaviour | C1321605
compliances | C1321605
patient cooperations | C1321605
therapy compliance | C1321605
treatment compliances | C1321605
compliant | C1321605
patient compliances | C1321605
patient adherences | C1321605
treatment compliance | C1321605
patient cooperation | C1321605
tomography | C0040405
transmission computed tomographies | C0040405
ct scans | C0040405
ct x ray | C0040405
computerised axial tomography | C0040405
x-ray computed tomography | C0040405
ct xray | C0040405
computed axial tomographies | C0040405
computerised transverse axial tomographies | C0040405
cat scan procedures | C0040405
computerised tomography | C0040405
computer assisted tomography | C0040405
scan cts | C0040405
computerized transverse axial tomographies | C0040405
computerized axial tomographies | C0040405
c a t scans | C0040405
scan ct's | C0040405
computerised tomograms | C0040405
computerised transverse axial tomography | C0040405
ctt | C0040405
catting | C0040405
cts | C0040405
computerised tomographies | C0040405
ct scan without iv contrast | C0040405
computerised transverse axial tomogram | C0040405
computerized tomograph scans | C0040405
cats scan | C0040405
cat scan procedure | C0040405
xray computed tomographies | C0040405
x-ray computer assisted tomographies | C0040405
scan cat | C0040405
computerized tomography without iv contrast | C0040405
computerized transverse axial tomogram | C0040405
computerised tomograph scan | C0040405
computerized tomography without iv contrasts | C0040405
x-ray ct scan | C0040405
c a t scan | C0040405
computing tomographies | C0040405
ct x rays | C0040405
computerized transaxial tomography without iv contrasts | C0040405
assisted computer tomography | C0040405
x ray computer assisted tomography | C0040405
computing tomography | C0040405
computerized tomographies | C0040405
scan cat's | C0040405
computed tomographies | C0040405
computerized axial tomograms | C0040405
x-ray cat scans | C0040405
computerised tomogram | C0040405
computerised transaxial tomographies | C0040405
computerized tomograph scan | C0040405
ct scannings | C0040405
cat scan | C0040405
computerized tomogram | C0040405
ct scan without iv contrasts | C0040405
emi scans | C0040405
cat procedure scans | C0040405
cat's | C0040405
ct scan | C0040405
computer-assisted transaxial tomography | C0040405
ct's | C0040405
computerised tomograph scans | C0040405
xray computed tomography | C0040405
ct xrays | C0040405
tomodensitometries | C0040405
x ray computerized tomographies | C0040405
computer-assisted transaxial tomographies | C0040405
computerised transverse axial tomograms | C0040405
computerized transverse axial tomography | C0040405
ctt scan | C0040405
cat scannings | C0040405
computed x-ray tomographies | C0040405
x ray computer assisted tomographies | C0040405
cat scans | C0040405
computerized transverse axial tomograms | C0040405
ctt scans | C0040405
x-ray computerized tomographies | C0040405
computerized tomography | C0040405
x-ray computer assisted tomography | C0040405
ct | C0040405
computerised axial tomogram | C0040405
scan cats | C0040405
cat procedure scan | C0040405
computed tomography | C0040405
computerized transaxial tomography | C0040405
scan ct | C0040405
x-ray cat scan | C0040405
cat | C0040405
tomodensitometry | C0040405
x-ray computerized tomography | C0040405
computer assisted tomographies | C0040405
tomographies | C0040405
computed x ray tomography | C0040405
cats | C0040405
computerised axial tomographies | C0040405
computerised transaxial tomography | C0040405
computerized axial tomogram | C0040405
ctts | C0040405
x ray computerized tomography | C0040405
computerised axial tomograms | C0040405
assisted computer tomographies | C0040405
computed tomography x rays | C0040405
x-ray ct scans | C0040405
ctt's | C0040405
computerized transaxial tomography without iv contrast | C0040405
computed x ray tomographies | C0040405
computerized transaxial tomographies | C0040405
ct scanning | C0040405
computerized axial tomography | C0040405
transmission computed tomography | C0040405
emi scan | C0040405
tomography transm computed | C0040405
computed axial tomography | C0040405
cats scans | C0040405
cat scanning | C0040405
computed x-ray tomography | C0040405
computerized tomograms | C0040405
x-ray computed tomographies | C0040405
past history ofs | C0455458
ph's | C0455458
past medical histories | C0455458
past history of | C0455458
past medical history of's | C0455458
pmhs | C0455458
pmh's | C0455458
health history | C0455458
phs | C0455458
past history of's | C0455458
pmh | C0455458
past medical history ofs | C0455458
past medical history | C0455458
health histories | C0455458
ph | C0455458
past medical history of | C0455458
child abuse injuries | C1541830
child abuse injury | C1541830
child abuses | C1541830
child maltreatment syndrome | C1541830
child abuse | C1541830
child maltreatment syndromes | C1541830
exercise pain managements | C1522704
exercise pain management | C1522704
exercises | C1522704
exercise | C1522704
avoidances | C0870186
avoidance | C0870186
somnographieses | C0162701
sleep measurement | C0162701
somnographies | C0162701
sleep testing | C0162701
polysomnographies | C0162701
polysomnograms | C0162701
sleep measurements | C0162701
sleep tests | C0162701
somnogr | C0162701
full sleep study | C0162701
sleep monitorings | C0162701
somnographiess | C0162701
polysomnography | C0162701
psg | C0162701
study sleep | C0162701
somnographys | C0162701
sleep study | C0162701
sleep test | C0162701
polysomnogrs | C0162701
somnogrs | C0162701
monitor sleep | C0162701
sleep recordings | C0162701
polysomnogram | C0162701
sleep monitoring | C0162701
polysomnogr | C0162701
sleep testings | C0162701
sleep studies | C0162701
psgs | C0162701
sleep recording | C0162701
sleeping studying | C0162701
full sleep studies | C0162701
somnography | C0162701
psg's | C0162701
arousal | C0003808
arousals | C0003808
quality of life satisfaction | C0518214
quality-of-life | C0518214
quality of lives | C0518214
qol | C0518214
quality of life satisfactions | C0518214
quality-of-lives | C0518214
life quality | C0518214
life qualities | C0518214
quality of life | C0518214
quality-of-lifes | C0518214
perceived quality of lives | C0518214
perceived quality of life | C0518214
echo speech | C0013528
echo reaction | C0013528
echo reactions | C0013528
echophrasia | C0013528
echolalias | C0013528
echolalia | C0013528
echo speeches | C0013528
substance abused | C2603359
normal tissue morphology | C0332441
normal appearance | C0332441
appearance normals | C0332441
normal appearance of tissues | C0332441
normal tissue morphologies | C0332441
normal tissue | C0332441
normal tissues | C0332441
tissue normal | C0332441
normal appearances | C0332441
tissue normals | C0332441
normal appearance of tissue | C0332441
appearance normal | C0332441
behavioral symptoms | C0004941
behavioral symptom | C0004941
finding of swelling | C0038999
observation of swelling | C0038999
swelling | C0038999
swellings | C0038999
tumefaction | C0038999
swells | C0038999
part of body swollen | C0038999
swelled | C0038999
bulge | C0038999
swollen | C0038999
finding of swellings | C0038999
tumefactions | C0038999
observation of swellings | C0038999
tumescence | C0038999
swell | C0038999
part of body puffy | C0038999
bulges | C0038999
bulging | C0038999
manic state | C0338831
manic states | C0338831
manics | C0338831
manias | C0338831
mania | C0338831
manic | C0338831
abuse inhalant | C0021449
inhalant abuses | C0021449
inhalant abuse | C0021449
abuse inhalants | C0021449
panic attack | C0086769
panic attacks | C0086769
imaging by methods | C0011923
imaging diag | C0011923
diagnostic imagings | C0011923
diag imaging | C0011923
diagnostic imaging | C0011923
imaging diags | C0011923
imaging procedures | C0011923
imaging procedure | C0011923
diag imagings | C0011923
imagings | C0011923
imaging by method | C0011923
imaging | C0011923
learned helplessness | C0018897
helplessness learned | C0018897
psychological inhibitions | C0021467
psychological inhibition | C0021467
inhibition psychol | C0021467
inhibition | C0021467
inhibition psychols | C0021467
inhibitions | C0021467
early age of onset | C1835401
early age of onsets | C1835401
hematological testings | C0018941
hematologic testing | C0018941
hematological tests | C0018941
hematologic testings | C0018941
hematology tests | C0018941
hematology | C0018941
hematology procedures | C0018941
hematology test | C0018941
hematologic tests | C0018941
hematology procedure | C0018941
blood analysis | C0018941
tests hematols | C0018941
blood tests | C0018941
blood test procedures | C0018941
hematologic test | C0018941
hematol tests | C0018941
hematological test | C0018941
hematological testing | C0018941
tests hematological | C0018941
blood test | C0018941
haematology tests | C0018941
blood test procedure | C0018941
haematology test | C0018941
blood testing | C0018941
hematologies | C0018941
hematol test | C0018941
test hematols | C0018941
test hematol | C0018941
blood analyses | C0018941
blood testings | C0018941
tests hematol | C0018941
injury from an external forces | C0175677
traumatic injuries | C0175677
injuries | C0175677
injury from an external force | C0175677
injs | C0175677
unspecified injury | C0175677
injury | C0175677
unspecified injuries | C0175677
inj | C0175677
inj's | C0175677
snoringss | C0037384
observation of snoring | C0037384
snoring symptom | C0037384
snore | C0037384
snoring symptoms | C0037384
snoring was observed | C0037384
snoring | C0037384
snoringses | C0037384
stertors | C0037384
stertor was observed | C0037384
finding of snoring | C0037384
snores | C0037384
stertor | C0037384
snorings | C0037384
extravasation of bloods | C0019080
extravasation of blood | C0019080
blood loss | C0019080
extravasation blood | C0019080
bleeding problems | C0019080
hemorrhage terms | C0019080
hemorrhage term | C0019080
bleedings | C0019080
hemorrhages | C0019080
bleeding -retired-s | C0019080
extravasation bloods | C0019080
bleeds | C0019080
haemorrhages | C0019080
bleeding | C0019080
hems | C0019080
haemorrhage | C0019080
bleeding -retired- | C0019080
bleed | C0019080
blood losses | C0019080
bleeding problem | C0019080
hemorrhage | C0019080
hem | C0019080
premenstrual dysphoric disorders | C0520676
premenstrual dysphoric disorder | C0520676
disorder dysphoric premenstrual | C0520676
pmdd | C0520676
fulfillments | C0242428
satisfied | C0242428
satisfaction | C0242428
fulfillment | C0242428
satisfactions | C0242428
body discomfort | C0234215
discomforts | C0234215
discomfort | C0234215
body discomforts | C0234215
sensory discomfort | C0234215
sensory discomforts | C0234215
cardiovascular problem | C0850760
cardiovascular problems | C0850760
bladder distentions | C0080274
not passing urines | C0080274
bladder distention | C0080274
unable to pass urine | C0080274
retention urine | C0080274
inability to empty bladder | C0080274
retention urinary | C0080274
bladder urine retention | C0080274
unable to pass urines | C0080274
bladder retentions | C0080274
bladder inability to empty | C0080274
urine retentions | C0080274
unable to empty bladder | C0080274
retention of urine | C0080274
retention urines | C0080274
rndx urinary retentions | C0080274
urine retention | C0080274
bladder retention of urines | C0080274
bladder retention of urine -retired-s | C0080274
rndx urinary retention | C0080274
bladder retention of urine -retired- | C0080274
inability to empty bladders | C0080274
urinary retentions | C0080274
bladder retention of urine | C0080274
not passing urine | C0080274
bladder retention | C0080274
urinary retention | C0080274
retention of urines | C0080274
bladder urine retentions | C0080274
unable to empty bladders | C0080274
nausea and vomiting symptoms | C0027498
vomiting and nausea | C0027498
nausea with vomitings | C0027498
vomiting and nauseas | C0027498
nausea vomitings | C0027498
nausea vomiting | C0027498
nausea and vomitings | C0027498
nausea with vomiting | C0027498
nausea and vomiting | C0027498
addisons diseases | C0001403
addison's diseases | C0001403
addisons di | C0001403
addison di's | C0001403
addisons dis | C0001403
disease addison'ses | C0001403
addison diseases | C0001403
chronic adrenal insufficiency | C0001403
disease addison'ss | C0001403
primary adrenocortical insufficiencies | C0001403
primary adrenal deficiencies | C0001403
addison disease | C0001403
primary adrenal insufficiencies | C0001403
disease addison's | C0001403
addison dis's | C0001403
addisons disease | C0001403
hypocortisolism | C0001403
addisons di's | C0001403
primary adrenal deficiency | C0001403
addison di | C0001403
addison's disease | C0001403
addisons diss | C0001403
primary adrenal insufficiency | C0001403
addison diss | C0001403
addison dis | C0001403
primary hypoadrenalism | C0001403
chronic adrenal insufficiencies | C0001403
primary adrenocortical insufficiency | C0001403
addisons dis's | C0001403
combined modality thers | C0009429
multimodality therapy | C0009429
combined modality therapies | C0009429
combined treatments | C0009429
combined treatment | C0009429
ther combined modalities | C0009429
multimodal treatment | C0009429
combination therapies | C0009429
cotreatment | C0009429
cotreatments | C0009429
combination therapy | C0009429
ther combined modality | C0009429
multimodality therapies | C0009429
concurrent therapies | C0009429
multimodal therapies | C0009429
multimodality treatments | C0009429
combined modality therapy | C0009429
combined modality ther's | C0009429
concurrent therapy | C0009429
combined modality treatments | C0009429
combined modality treatment | C0009429
multimodal treatments | C0009429
multimodal therapy | C0009429
multimodality treatment | C0009429
combined modality ther | C0009429
combined treatment modalities | C0009429
phenotypic variations | C1836717
phenotypic variation | C1836717
demonstrates negativism | C0027562
demonstrated behavior negativism | C0027562
negativism | C0027562
state of stresses | C0038435
state of stress | C0038435
stress | C0038435
stressed | C0038435
stresses | C0038435
concentrate inability | C0235198
inability to maintain attention | C0235198
difficulty concentration | C0235198
disturbed mental concentrations | C0235198
mental concentration impaired | C0235198
lack of concentration | C0235198
impaired concentration | C0235198
concentration lack | C0235198
lack of concentrations | C0235198
unable to concentrates | C0235198
mental concentration difficult | C0235198
difficulty concentrations | C0235198
concentration loss | C0235198
concentration losses | C0235198
cerebration impaired | C0235198
lack concentrations | C0235198
concentration impairments | C0235198
concentration difficulties | C0235198
concentrate inabilities | C0235198
lack concentration | C0235198
inability to concentrates | C0235198
mental concentration difficulties | C0235198
mental concentration difficulty | C0235198
impaired concentrations | C0235198
concentration impairment | C0235198
inability to maintain attentions | C0235198
inability to concentrate | C0235198
disturbed mental concentration | C0235198
concentration difficulty | C0235198
unable to concentrate | C0235198
concentration impaired | C0235198
support | C0344211
supportive cares | C0344211
supportive care | C0344211
supports | C0344211
supportive therapies | C0344211
supportive therapy | C0344211
mental status | C0278060
mental state findings | C0278060
mental state | C0278060
general term | C0278060
mental state finding | C0278060
mental statuses | C0278060
mental states | C0278060
general terms | C0278060
luetic diseases | C0039128
